ナンバー,名前,画像URL,魚影,値段,場所,北半球の季節,南半球の季節,時間
49,クマノミ,https://img.game8.jp/6608480/2e1af4fd64d9e8c685325e8a2ea95a14.png/show,極小,650,海,4月〜9月,1月〜3月,いつでも
50,ナンヨウハギ,https://img.game8.jp/6608529/9c3597647af41b568e04899b643e61dd.png/show,小,1000,海,4月〜9月,1月〜3月,いつでも
51,チョウチョウウオ,https://img.game8.jp/6608524/315f10bba5bf8f9c69f4bfeb0192504e.png/show,小,1000,海,4月〜9月,1月〜3月,いつでも
52,ナポレオンフィッシュ,https://img.game8.jp/6608522/b6bfca3be1d4deb72810cb8a95dacfd9.png/show,特大,10000,海,7月〜8月,1月〜2月,4時〜21時
53,ミノカサゴ,https://img.game8.jp/6608527/6aae9724a1d0d170562a489e7a5b51e1.png/show,中,500,海,4月〜11月,1月〜5月,いつでも
54,フグ,https://img.game8.jp/6608534/ee4ffea79c4856068754a76074bd8728.png/show,中,5000,海,11月〜2月,5月〜8月,21時〜翌4時
55,ハリセンボン,https://img.game8.jp/6608552/95a06f5114973b0dc416e290d265e512.png/show,中,250,海,7月〜9月,1月〜3月,いつでも
56,アンチョビ,https://img.game8.jp/6608516/d3d7174607868cbb9bcfb3988518957d.png/show,小,200,海,いつでも,いつでも,4時〜21時
57,アジ,https://img.game8.jp/6608485/5f7a72365deb152a095caa4a7182ad8a.png/show,小,150,海,いつでも,いつでも,いつでも
58,イシダイ,https://img.game8.jp/6608492/5e60e72fe2f65f971a66f44f271e92e0.png/show,中,5000,海,3月〜11月,1月〜5月,いつでも
59,スズキ,https://img.game8.jp/6608499/505216ff9042858d86dc6f1c47c02d52.png/show,大,400,海,1月〜12月,いつでも,いつでも
60,タイ,https://img.game8.jp/6608532/801e7b9a3e98c219d6ce9fae78d75934.png/show,大,3000,海,1月〜12月,いつでも,いつでも
61,カレイ,https://img.game8.jp/6608550/47545ea37b30829f3c47424e1537868e.png/show,中,300,海,10月〜4月,4月〜10月,いつでも
62,ヒラメ,https://img.game8.jp/6608509/8359c71f53a27aa6f1e90b773e5d6f57.png/show,大,800,海,いつでも,いつでも,いつでも
63,イカ,https://img.game8.jp/6608489/0aba9a712eb4ae025fbc8cec91f2b60a.png/show,中,500,海,12月〜8月,1月〜2月,いつでも
64,ウツボ,https://img.game8.jp/6608484/abb317d5c53ed5a8f62f38a73e96a109.png/show,ほそなが,2000,海,8月〜10月,2月〜4月,いつでも
65,ハナヒゲウツボ,https://img.game8.jp/6608513/ee42a73cd845a27f73ac3fa6c7e564c2.png/show,ほそなが,600,海,6月〜10月,1月〜4月,いつでも
66,マグロ,https://img.game8.jp/6608538/8ef7714ab5cde2b8598c42ff13743c64.png/show,特大,7000,桟橋,1月〜4月,5月〜10月,いつでも
67,カジキ,https://img.game8.jp/6608481/e899540202e7ea832b98fbe7d86ca4db.png/show,特大,10000,桟橋,1月〜4月,1月〜3月,いつでも
68,ロウニンアジ,https://img.game8.jp/6608531/23778b9595b5714981b6bf8cc74c26d2.png/show,大,4500,桟橋,5月〜10月,1月〜4月,いつでも
69,シイラ,https://img.game8.jp/6608544/9da5ae563a015ffd87c17d10bab67e2a.png/show,大,6000,桟橋,5月〜10月,1月〜4月,いつでも
70,マンボウ,https://img.game8.jp/6608545/5e1f680f82238cc65de6f0133e11d165.png/show,背びれ,4000,海,7月〜9月,1月〜3月,4時〜21時
71,エイ,https://img.game8.jp/6608491/67a05f636532d608acd8401240ff316e.png/show,大,3000,海,8月〜11月,2月〜5月,4時〜21時
72,ノコギリザメ,https://img.game8.jp/6608503/925bb14a57b194f123c69f6ebf474546.png/show,背びれ,12000,海,6月〜9月,1月〜3月,16時〜翌9時
73,シュモクザメ,https://img.game8.jp/6608496/73d25893d500b21c27330f632057420e.png/show,背びれ,8000,海,6月〜9月,1月〜3月,16時〜翌9時
74,サメ,https://img.game8.jp/6608533/774d07527f8ddce0f10d6c23b17dabd0.png/show,背びれ,15000,海,6月〜9月,1月〜3月,16時〜翌9時
75,ジンベエザメ,https://img.game8.jp/6608507/a2ac45f388bdaf0e25898f70fe1ace40.png/show,背びれ,13000,海,6月〜9月,1月〜3月,いつでも
76,コバンザメ,https://img.game8.jp/6608515/645e769285a035b0a7d3938ac1ce029a.png/show,背びれ,1500,海,6月〜9月,1月〜3月,いつでも
77,チョウチンアンコウ,https://img.game8.jp/6608521/d0d75f54dfa2113667b92867c9c8c2e3.png/show,大,2500,海,11月〜3月,5月〜9月,16時〜翌9時
78,リュウグウノツカイ,https://img.game8.jp/6608514/670aac6181bdbaf4f17bb59662dc2732.png/show,特大,9000,海,1月〜5月,6月〜11月,いつでも
79,デメニギス,https://img.game8.jp/6608526/11f80642c1722dce91e843cccd612c7c.png/show,小,15000,海,いつでも,いつでも,21時〜翌4時
80,シーラカンス,https://img.game8.jp/6608523/fef8d94a55cb90dbf647a779b404413e.png/show,特大,15000,海,いつでも(雨の日、離島では晴れでも釣れる),いつでも(雨の日),いつでも
